"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 12:12:16 GMT 2023","Fri Dec 01 12:12:17 GMT 2023","921","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Fri Dec 01 12:12:47 GMT 2023","Fri Dec 01 12:12:54 GMT 2023","6453","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifyCancelLogout","verifyCancelLogout","Successful log out from account of the system"
"passed","Fri Dec 01 12:12:07 GMT 2023","Fri Dec 01 12:12:08 GMT 2023","887","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Fri Dec 01 12:12:17 GMT 2023","Fri Dec 01 12:12:18 GMT 2023","901","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Fri Dec 01 12:10:26 GMT 2023","Fri Dec 01 12:10:27 GMT 2023","893","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"passed","Fri Dec 01 12:11:56 GMT 2023","Fri Dec 01 12:11:57 GMT 2023","886","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"failed","Fri Dec 01 12:11:12 GMT 2023","Fri Dec 01 12:11:13 GMT 2023","970","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"passed","Fri Dec 01 12:12:03 GMT 2023","Fri Dec 01 12:12:04 GMT 2023","947","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Fri Dec 01 12:12:08 GMT 2023","Fri Dec 01 12:12:09 GMT 2023","888","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Fri Dec 01 12:12:09 GMT 2023","Fri Dec 01 12:12:10 GMT 2023","878","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"failed","Fri Dec 01 12:10:39 GMT 2023","Fri Dec 01 12:10:40 GMT 2023","931","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"unknown","Fri Dec 01 12:09:28 GMT 2023","Fri Dec 01 12:09:28 GMT 2023","0","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyUserClickPrivacyPolicyInRussian","verifyUserClickPrivacyPolicyInRussian","User clicks on the 'Privacy Policy' link in Russian"
"passed","Fri Dec 01 12:10:14 GMT 2023","Fri Dec 01 12:10:15 GMT 2023","906","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"passed","Fri Dec 01 12:11:11 GMT 2023","Fri Dec 01 12:11:12 GMT 2023","896","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"passed","Fri Dec 01 12:10:16 GMT 2023","Fri Dec 01 12:10:17 GMT 2023","914","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"passed","Fri Dec 01 12:12:14 GMT 2023","Fri Dec 01 12:12:15 GMT 2023","892","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Fri Dec 01 12:12:01 GMT 2023","Fri Dec 01 12:12:02 GMT 2023","899","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Fri Dec 01 12:12:44 GMT 2023","Fri Dec 01 12:12:47 GMT 2023","3472","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyValidUsername","verifyValidUsername",""
"passed","Fri Dec 01 12:12:19 GMT 2023","Fri Dec 01 12:12:20 GMT 2023","892","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Fri Dec 01 12:10:47 GMT 2023","Fri Dec 01 12:10:53 GMT 2023","6114","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"passed","Fri Dec 01 12:09:28 GMT 2023","Fri Dec 01 12:09:34 GMT 2023","5761","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyEmptyFieldsAfterRegistration","verifyEmptyFieldsAfterRegistration","Registration fields form is empty after submitting the form"
