"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 05 12:11:04 GMT 2024","Fri Jan 05 12:11:05 GMT 2024","532","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Fri Jan 05 12:11:56 GMT 2024","Fri Jan 05 12:12:02 GMT 2024","6247","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyUsernameErrorIfUsernameMoreThan30Characters","verifyUsernameErrorIfUsernameMoreThan30Characters","Error message when username contains more than 30 characters"
"failed","Fri Jan 05 12:09:51 GMT 2024","Fri Jan 05 12:09:51 GMT 2024","679","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"failed","Fri Jan 05 12:11:01 GMT 2024","Fri Jan 05 12:11:02 GMT 2024","582","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"failed","Fri Jan 05 12:10:07 GMT 2024","Fri Jan 05 12:10:08 GMT 2024","566","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"passed","Fri Jan 05 12:08:55 GMT 2024","Fri Jan 05 12:09:05 GMT 2024","9679","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyEmptyFieldsAfterRegistration","verifyEmptyFieldsAfterRegistration","Registration fields form is empty after submitting the form"
"failed","Fri Jan 05 12:10:50 GMT 2024","Fri Jan 05 12:10:51 GMT 2024","545","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"failed","Fri Jan 05 12:09:43 GMT 2024","Fri Jan 05 12:09:44 GMT 2024","579","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"failed","Fri Jan 05 12:10:01 GMT 2024","Fri Jan 05 12:10:02 GMT 2024","566","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"failed","Fri Jan 05 12:09:51 GMT 2024","Fri Jan 05 12:09:52 GMT 2024","564","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"skipped","Fri Jan 05 12:12:21 GMT 2024","Fri Jan 05 12:12:21 GMT 2024","0","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifyUnsuccessfulLoginEmailUnconfirmed","verifyUnsuccessfulLoginEmailUnconfirmed","Unsuccessful login to the system without email confirmation"
"failed","Fri Jan 05 12:10:11 GMT 2024","Fri Jan 05 12:10:11 GMT 2024","552","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"failed","Fri Jan 05 12:10:11 GMT 2024","Fri Jan 05 12:10:12 GMT 2024","600","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"failed","Fri Jan 05 12:11:03 GMT 2024","Fri Jan 05 12:11:04 GMT 2024","547","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"skipped","Fri Jan 05 12:12:20 GMT 2024","Fri Jan 05 12:12:20 GMT 2024","1","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifySuccessfulLogout","verifySuccessfulLogout","Successful log out from account of the system"
"broken","Fri Jan 05 12:12:02 GMT 2024","Fri Jan 05 12:12:08 GMT 2024","6200","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyValidUsername","verifyValidUsername",""
"skipped","Fri Jan 05 12:12:20 GMT 2024","Fri Jan 05 12:12:20 GMT 2024","0","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifySuccessfulLogin","verifySuccessfulLogin","Successful login to the system with email confirmation"
"failed","Fri Jan 05 12:10:04 GMT 2024","Fri Jan 05 12:10:04 GMT 2024","549","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"broken","Fri Jan 05 12:10:16 GMT 2024","Fri Jan 05 12:10:49 GMT 2024","32348","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameExistInSystem","verifyErrorIfUsernameExistInSystem","Registration failure if username is already in the system"
"unknown","Fri Jan 05 12:08:47 GMT 2024","Fri Jan 05 12:08:47 GMT 2024","0","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyUserClickTermsOfServiceInRussian","verifyUserClickTermsOfServiceInRussian","User clicks on the 'Terms of Service' link in Russian"
"failed","Fri Jan 05 12:10:56 GMT 2024","Fri Jan 05 12:10:57 GMT 2024","515","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"failed","Fri Jan 05 12:10:03 GMT 2024","Fri Jan 05 12:10:04 GMT 2024","591","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"skipped","Fri Jan 05 12:12:21 GMT 2024","Fri Jan 05 12:12:21 GMT 2024","1","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifyUnsuccessfulLoginNonexistentUser","verifyUnsuccessfulLoginNonexistentUser","Unsuccessful authorization for a non-existent user"
"unknown","Fri Jan 05 12:08:47 GMT 2024","Fri Jan 05 12:08:47 GMT 2024","0","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyUserClickPrivacyPolicyInEnglish","verifyUserClickPrivacyPolicyInEnglish","User clicks on the 'Privacy Policy' link"
"broken","Fri Jan 05 12:11:50 GMT 2024","Fri Jan 05 12:11:56 GMT 2024","5767","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyUsernameErrorIfUsernameLessThan6Characters","verifyUsernameErrorIfUsernameLessThan6Characters","Error message when username contains less than 6 characters"
"failed","Fri Jan 05 12:10:13 GMT 2024","Fri Jan 05 12:10:13 GMT 2024","555","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfPasswordNotMeetRequirements","verifyErrorIfPasswordNotMeetRequirements","Registration failure when password doesn't meet requirements"
"failed","Fri Jan 05 12:10:54 GMT 2024","Fri Jan 05 12:10:55 GMT 2024","543","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"failed","Fri Jan 05 12:09:44 GMT 2024","Fri Jan 05 12:09:44 GMT 2024","565","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"failed","Fri Jan 05 12:09:48 GMT 2024","Fri Jan 05 12:09:48 GMT 2024","596","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"failed","Fri Jan 05 12:10:53 GMT 2024","Fri Jan 05 12:10:53 GMT 2024","529","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"failed","Fri Jan 05 12:09:54 GMT 2024","Fri Jan 05 12:09:55 GMT 2024","548","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"failed","Fri Jan 05 12:10:12 GMT 2024","Fri Jan 05 12:10:13 GMT 2024","569","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"failed","Fri Jan 05 12:11:08 GMT 2024","Fri Jan 05 12:11:08 GMT 2024","582","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"failed","Fri Jan 05 12:11:06 GMT 2024","Fri Jan 05 12:11:06 GMT 2024","548","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"failed","Fri Jan 05 12:09:55 GMT 2024","Fri Jan 05 12:09:55 GMT 2024","579","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"failed","Fri Jan 05 12:11:09 GMT 2024","Fri Jan 05 12:11:10 GMT 2024","595","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyPasswordErrorIfPasswordMoreThan20Characters","verifyPasswordErrorIfPasswordMoreThan20Characters","Error message when password contains more than 20 characters"
