"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 18 18:38:59 GMT 2023","Sat Nov 18 18:38:59 GMT 2023","925","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"passed","Sat Nov 18 18:39:16 GMT 2023","Sat Nov 18 18:39:17 GMT 2023","895","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:21 GMT 2023","Sat Nov 18 18:39:22 GMT 2023","904","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:25 GMT 2023","Sat Nov 18 18:39:26 GMT 2023","958","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:14 GMT 2023","Sat Nov 18 18:39:15 GMT 2023","929","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:13 GMT 2023","Sat Nov 18 18:39:14 GMT 2023","922","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:23 GMT 2023","Sat Nov 18 18:39:24 GMT 2023","900","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:34 GMT 2023","Sat Nov 18 18:39:35 GMT 2023","889","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:24 GMT 2023","Sat Nov 18 18:39:25 GMT 2023","921","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:12 GMT 2023","Sat Nov 18 18:39:13 GMT 2023","903","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Sat Nov 18 18:38:51 GMT 2023","Sat Nov 18 18:38:57 GMT 2023","6054","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailInExistInSystem","verifyErrorIfEmailInExistInSystem","Registration failure if email is already in the system"
"passed","Sat Nov 18 18:39:29 GMT 2023","Sat Nov 18 18:39:30 GMT 2023","893","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Sat Nov 18 18:39:48 GMT 2023","Sat Nov 18 18:39:48 GMT 2023","48","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifyErrorInvalidPassword","verifyErrorInvalidPassword","Authorization error when invalid password entered"
"passed","Sat Nov 18 18:39:01 GMT 2023","Sat Nov 18 18:39:01 GMT 2023","896","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfPasswordNotMeetRequirements","verifyErrorIfPasswordNotMeetRequirements","Registration failure when password doesn't meet requirements"
"passed","Sat Nov 18 18:39:37 GMT 2023","Sat Nov 18 18:39:38 GMT 2023","904","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyPasswordErrorIfPasswordLessThan6Characters","verifyPasswordErrorIfPasswordLessThan6Characters","Error message when password contains less than 6 characters"
"passed","Sat Nov 18 18:39:36 GMT 2023","Sat Nov 18 18:39:37 GMT 2023","928","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:26 GMT 2023","Sat Nov 18 18:39:27 GMT 2023","892","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:33 GMT 2023","Sat Nov 18 18:39:33 GMT 2023","920","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:17 GMT 2023","Sat Nov 18 18:39:18 GMT 2023","896","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Sat Nov 18 18:39:47 GMT 2023","Sat Nov 18 18:39:47 GMT 2023","208","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifyErrorInvalidEmail","verifyErrorInvalidEmail","Authorization error when invalid email entered"
"broken","Sat Nov 18 18:39:53 GMT 2023","Sat Nov 18 18:39:53 GMT 2023","48","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifyUnsuccessfulLoginEmailUnconfirmed","verifyUnsuccessfulLoginEmailUnconfirmed","Unsuccessful login to the system without email confirmation"
"passed","Sat Nov 18 18:38:59 GMT 2023","Sat Nov 18 18:39:00 GMT 2023","931","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"passed","Sat Nov 18 18:39:39 GMT 2023","Sat Nov 18 18:39:40 GMT 2023","918","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyRegistrationErrorWhenPasswordsDontMatch","verifyRegistrationErrorWhenPasswordsDontMatch","Registration failure if passwords (Password and Password confirmation fields) don't match"
"passed","Sat Nov 18 18:39:18 GMT 2023","Sat Nov 18 18:39:19 GMT 2023","903","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Sat Nov 18 18:39:53 GMT 2023","Sat Nov 18 18:39:53 GMT 2023","49","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifyUnsuccessfulLoginNonexistentUser","verifyUnsuccessfulLoginNonexistentUser","Unsuccessful authorization for a non-existent user"
"passed","Sat Nov 18 18:39:28 GMT 2023","Sat Nov 18 18:39:29 GMT 2023","892","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Sat Nov 18 18:39:48 GMT 2023","Sat Nov 18 18:39:53 GMT 2023","5386","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifySuccessfulLogin","verifySuccessfulLogin","Successful login to the system with email confirmation"
"passed","Sat Nov 18 18:39:33 GMT 2023","Sat Nov 18 18:39:34 GMT 2023","928","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"passed","Sat Nov 18 18:39:11 GMT 2023","Sat Nov 18 18:39:12 GMT 2023","900","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Sat Nov 18 18:39:05 GMT 2023","Sat Nov 18 18:39:10 GMT 2023","5286","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameExistInSystem","verifyErrorIfUsernameExistInSystem","Registration failure if username is already in the system"
