"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Dec 01 11:49:21 GMT 2023","Fri Dec 01 11:49:22 GMT 2023","865","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Fri Dec 01 11:48:53 GMT 2023","Fri Dec 01 11:48:54 GMT 2023","865","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"broken","Fri Dec 01 11:48:56 GMT 2023","Fri Dec 01 11:48:57 GMT 2023","882","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"broken","Fri Dec 01 11:49:15 GMT 2023","Fri Dec 01 11:49:18 GMT 2023","2598","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameExistInSystem","verifyErrorIfUsernameExistInSystem","Registration failure if username is already in the system"
"broken","Fri Dec 01 11:49:42 GMT 2023","Fri Dec 01 11:49:43 GMT 2023","865","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Fri Dec 01 11:49:10 GMT 2023","Fri Dec 01 11:49:10 GMT 2023","865","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"broken","Fri Dec 01 11:49:30 GMT 2023","Fri Dec 01 11:49:31 GMT 2023","865","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Fri Dec 01 11:49:35 GMT 2023","Fri Dec 01 11:49:36 GMT 2023","878","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Fri Dec 01 11:49:46 GMT 2023","Fri Dec 01 11:49:47 GMT 2023","882","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyRegistrationErrorWhenPasswordsDontMatch","verifyRegistrationErrorWhenPasswordsDontMatch","Registration failure if passwords (Password and Password confirmation fields) don't match"
"broken","Fri Dec 01 11:48:44 GMT 2023","Fri Dec 01 11:48:44 GMT 2023","866","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"broken","Fri Dec 01 11:49:02 GMT 2023","Fri Dec 01 11:49:03 GMT 2023","899","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"broken","Fri Dec 01 11:49:39 GMT 2023","Fri Dec 01 11:49:40 GMT 2023","865","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"skipped","Fri Dec 01 11:49:58 GMT 2023","Fri Dec 01 11:49:58 GMT 2023","1","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","verifySuccessfulLogin","verifySuccessfulLogin","Successful login to the system with email confirmation"
"broken","Fri Dec 01 11:49:52 GMT 2023","Fri Dec 01 11:49:53 GMT 2023","866","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyValidUsername","verifyValidUsername",""
"broken","Fri Dec 01 11:49:58 GMT 2023","Fri Dec 01 11:49:58 GMT 2023","36","TestSuite","Regression","tests.LoginPageTest","tests.LoginPageTest","logout","logout",""
"broken","Fri Dec 01 11:49:09 GMT 2023","Fri Dec 01 11:49:10 GMT 2023","883","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfEmailNotMeetRequirement","verifyErrorIfEmailNotMeetRequirement","Registration failure when email doesn't meet requirements"
"broken","Fri Dec 01 11:49:38 GMT 2023","Fri Dec 01 11:49:39 GMT 2023","866","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfUsernameNotMeetRequirements","verifyErrorIfUsernameNotMeetRequirements","Registration failure when username doesn't meet requirements"
"broken","Fri Dec 01 11:49:13 GMT 2023","Fri Dec 01 11:49:14 GMT 2023","866","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyErrorIfPasswordNotMeetRequirements","verifyErrorIfPasswordNotMeetRequirements","Registration failure when password doesn't meet requirements"
"broken","Fri Dec 01 11:48:30 GMT 2023","Fri Dec 01 11:48:35 GMT 2023","4716","TestSuite","Regression","tests.RegistrationTest","tests.RegistrationTest","verifyEmptyFieldsAfterRegistration","verifyEmptyFieldsAfterRegistration","Registration fields form is empty after submitting the form"
